CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
TOTAL	Total	Total	Insgesamt	Y	
LFD	Late foetal death	Mort foetale tardive	Später Fetaltod	Y	
LFD1	Late foetal death (group 1)	Mort-né (groupe 1)	Totgeburt (Gruppe 1)	Y	
LFD2	Late foetal death (group 2)	Mort-né (groupe 2)	Totgeburt (Gruppe 2)	Y	
MN0	Zero minutes	Zéro minutes	Null Minuten	Y	
MN1-9	From 1 to 9 minutes	De 1 à 9 minutes	1 bis 9 Minuten	Y	
MN1-14	From 1 to 14 minutes	De 1 à 14 minutes	1 bis 14 Minuten	Y	
MN1-59	From 1 to 59 minutes	De 1 à 59 minutes	1 bis 59 Minuten	Y	
MN1-74	From 1 to 74 minutes	De 1 à 74 minutes	1 bis 74 Minuten	Y	
MN1-149	From 1 to 149 minutes	De 1 à 149 minutes	1 bis 149 Minuten	Y	
MN_GE1	1 minute or over	1 minute ou plus	1 Minute und mehr	Y	
MN10-14	From 10 to 14 minutes	De 10 à 14 minutes	10 bis 14 Minuten	Y	
MN15-19	From 15 to 19 minutes	De 15 à 19 minutes	15 bis 19 Minuten	Y	
MN15-29	From 15 to 29 minutes	De 15 à 29 minutes	15 bis 29 Minuten	Y	
MN20-29	From 20 to 29 minutes	De 20 à 29 minutes	20 bis 29 Minuten	Y	
MN30-44	From 30 to 44 minutes	De 30 à 44 minutes	30 bis 44 Minuten	Y	
MN30-59	From 30 to 59 minutes	De 30 à 59 minutes	30 bis 59 Minuten	Y	
MN_GE30	30 minutes or over	30 minutes ou plus	30 Minuten und mehr	Y	
MN45-59	From 45 to 59 minutes	De 45 à 59 minutes	45 bis 59 Minuten	Y	
MN60-149	From 60 to 149 minutes	De 60 à 149 minutes	60 bis 149 Minuten	Y	
MN60-179	From 60 to 179 minutes	De 60 à 179 minutes	60 bis 179 Minuten	Y	
MN_GE60	60 minutes or over	60 minutes ou plus	60 Minuten und mehr	Y	
MN75-149	From 75 to 149 minutes	De 75 à 149 minutes	75 bis 149 Minuten	Y	
MN150-299	From 150 to 299 minutes	De 150 à 299 minutes	150 bis 299 Minuten	Y	
MN_GE150	150 minutes or over	150 minutes ou plus	150 Minuten und mehr	Y	
MN180-299	From 180 to 299 minutes	De 180 à 299 minutes	180 bis 299 Minuten	Y	
MN_GE300	300 minutes or over	300 minutes ou plus	300 Minuten und mehr	Y	
H_VARY	Hours vary	Heures varient	Stunden variieren	Y	
H0	Zero hours	Zéro heure	Null Stunden	Y	
H_LT1	Less than 1 hour	Moins de 1 heure	Weniger als 1 Stunde	Y	
H1-9	From 1 to 9 hours	De 1 à 9 heures	1 bis 9 Stunden	Y	
H1-19	From 1 to 19 hours	De 1 à 19 heures	1 bis 19 Stunden	Y	
H1-24	From 1 to 24 hours	De 1 à 24 heures	1 bis 24 Stunden	Y	
H1-29	From 1 to 29 hours	De 1 à 29 heures	1 bis 29 Stunden	Y	
H_GE1	1 hour or over	1 heure ou plus	1 Stunde und mehr	Y	
H_LE10	10 hours or less	10 heures ou moins	10 Stunden und weniger	Y	
H10-19	From 10 to 19 hours	De 10 à 19 heures	10 bis 19 Stunden	Y	
H10-20	From 10 to 20 hours	De 10 à 20 heures	10 bis 20 Stunden	Y	
H_GT10-20	From more than 10 to 20 hours	De plus de 10 à 20 heures	Von mehr als 10 bis 20 Stunden	Y	
H20-24	From 20 to 24 hours	De 20 à 24 heures	20 bis 24 Stunden	Y	
H20-29	From 20 to 29 hours	De 20 à 29 heures	20 bis 29 Stunden	Y	
H20-30	From 20 to 30 hours	De 20 à 30 heures	20 bis 30 Stunden	Y	
H_GT20-30	From more than 20 to 30 hours	De plus de 20 à 30 heures	Von mehr als 20 bis 30 Stunden	Y	
