STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,1999,8.6,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2000,7.9,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2001,7.6,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2002,8.7,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2003,8.5,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2004,19.2,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2005,15.5,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2006,15.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2007,13.6,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2008,13.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2009,13.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2010,12.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2011,12.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2012,11.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2013,14.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2014,13.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2015,11.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2016,14.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2017,14.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2018,12.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2019,10.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2020,11.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2021,14.1,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,AT,2022,15.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,1999,22.7,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2000,31.9,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2001,33.3,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2002,25.3,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2003,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2004,30.0,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2005,33.4,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2006,32.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2007,32.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2008,27.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2009,29.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2010,36.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2011,26.7,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2012,24.1,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2013,27.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2014,36.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2015,28.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2016,26.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2017,19.0,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2018,19.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2019,17.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2020,20.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2021,19.7,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BE,2022,18.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2000,43.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2001,53.9,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2002,48.3,
